,filename,artist,title,style,genre,date
119,101791.jpg,a1129d0ff671abcf3362417839191ec4,Calvary Triptych (left panel),Northern Renaissance,religious painting,1468
161,101237.jpg,072592d6fa48c2ef2d5d248c0478e890,Portraits of Willem Moreel and His Wife,Northern Renaissance,portrait,1482
199,16972.jpg,96ba4eca4b5b54553c44fcb73390e18b,"Anne of France, Lady of Beaujeu, Duchess of Bourbon, presented by St. John the Evangelist, right hand wing of a triptych",Northern Renaissance,religious painting,1492
211,12587.jpg,c3e9d9ebe5f2900190bef9342c440bd9,The Dresden Altarpiece (central panel),Northern Renaissance,religious painting,1496
165,1770.jpg,78b13bdd9a3201382c52e7efe67b7099,The Story of Nastagio degli Onesti,Early Renaissance,illustration,1483
127,100052.jpg,072592d6fa48c2ef2d5d248c0478e890,"The Last Judgment, triptych, right wing Casting the Damned into Hell",Northern Renaissance,religious painting,1470
79,102906.jpg,84b85ba889501c62da0f05a6cdaeaa7f,Stories of Christ's Passion,Early Renaissance,religious painting,1447
163,11000.jpg,ee1fc5cb64efc639c3c00ccf3af614c4,Pope Fabiano,Early Renaissance,religious painting,1483
177,13702.jpg,70612e44f5d877d771c1977b9c5589ad,Study,Early Renaissance,sketch and study,1486
49,15283.jpg,25ae5f1122be2bd3460525c418b9d492,Virgin Mary Annunciate,Early Renaissance,religious painting,1433
73,1513.jpg,599777e56cedc655aef921713d5becd1,The Adoration of the Magi,Northern Renaissance,religious painting,1444
230,10946.jpg,e655bc106f0f640870bc811cd29e6d8d,St. Anthony. St. Giles,Northern Renaissance,religious painting,1499
173,16786.jpg,70612e44f5d877d771c1977b9c5589ad,"The Trial by Fire, St. Francis before the Sultan of Egypt",Early Renaissance,religious painting,1485
113,103117.jpg,9d9ad9e2fbdcff68dadc266ccc6e4aed,Presentation of Christ in the temple,Early Renaissance,religious painting,1466
132,19758.jpg,2cf708ebd3f8e408e1e54ef194614d03,Madonna and Child with Saints ,Early Renaissance,religious painting,1472
219,13033.jpg,ee1fc5cb64efc639c3c00ccf3af614c4,"Madonna, an Angel and Little St. John Adoring the Child",High Renaissance,religious painting,1497
221,19833.jpg,ee1fc5cb64efc639c3c00ccf3af614c4,Sepulcrum Christi,High Renaissance,religious painting,1498
108,11667.jpg,7a5b41c727b25762d24cee788163a1d7,Martyrdom of St. Sebastian,Early Renaissance,religious painting,1465
32,15815.jpg,06f82951366bafca791e325cb6b214ac,Heavenly Host,International Gothic,illustration,1408
34,12149.jpg,06f82951366bafca791e325cb6b214ac,Diocrès Expounding the Scriptures,International Gothic,illustration,1408
193,15542.jpg,70612e44f5d877d771c1977b9c5589ad,Portrait of a Girl,Early Renaissance,portrait,1490
80,10645.jpg,3354b8820b6c7eaa725cececfeb85a6e,Coronation of the Virgin (detail),Early Renaissance,religious painting,1447
216,15112.jpg,ee1fc5cb64efc639c3c00ccf3af614c4,Pala di Fano (Assumption),High Renaissance,religious painting,1497
224,15887.jpg,c3e9d9ebe5f2900190bef9342c440bd9,Madonna and Child (Haller Madonna),Northern Renaissance,religious painting,1498
125,15560.jpg,0641cf433776d46e89adfe142bd22379,Madonna and Child (Madonna Benson) ,Early Renaissance,religious painting,1470
109,16457.jpg,3354b8820b6c7eaa725cececfeb85a6e,Madonna with the Child and two Angels,Early Renaissance,sketch and study,1465
116,100284.jpg,78b13bdd9a3201382c52e7efe67b7099,Madonna and Child,Early Renaissance,religious painting,1467
61,11982.jpg,e4f90e4cae5e75ee90d8852c013c0ff2,Study of a Head,Early Renaissance,sketch and study,1436
95,10088.jpg,9d9ad9e2fbdcff68dadc266ccc6e4aed,Two holy women in prayer,Early Renaissance,sketch and study,1455
100,11392.jpg,7a5b41c727b25762d24cee788163a1d7,Procession of the Magi,Early Renaissance,religious painting,1461
145,101672.jpg,deedbecf554a7c809e5e89c6c5b68125,The Flagellation of St Engracia,Gothic,religious painting,1477
151,17061.jpg,d8ed2d6f032da7c79eb05c5502005520,Saint Nicolas,Early Renaissance,religious painting,1480
133,12989.jpg,ee1fc5cb64efc639c3c00ccf3af614c4,The Miracles of San Bernardino. The Healing of the blind and deaf Riccardo Micuzio,Early Renaissance,religious painting,1473
46,12709.jpg,eb7aab875efeae0d20311261fc826ef0,Crucifixion,Early Renaissance,religious painting,1430
51,17971.jpg,e4f90e4cae5e75ee90d8852c013c0ff2,Study of Horse Heads,Early Renaissance,sketch and study,1433
137,11270.jpg,deedbecf554a7c809e5e89c6c5b68125,Christ at the Tomb Supported by Two Angels,Gothic,religious painting,1474
