filename,artist,title,style,genre,date
16458.jpg,8a40fbd2c7a7636701ce7e71b367a533,"Flowers and Fruit of the Palmyra, and the Palm Seen through a Window, Java",Naturalism,still life,187
14139.jpg,26755a62139244c958725e91e3c667ec,Five-colored parakeet on a blossoming apricot tree,Gongbi,bird-and-flower painting,1119
17349.jpg,29db1f42c929f11d01b0acb1dda2967f,"The Church, the Bride of Christ and Mother of the Faithful in Baptism",Romanesque,miniature,1165
11355.jpg,b864293dc3601617049eb94d1236a7e0,Klosterneuburg Altar,Mosan art,religious painting,1181
100444.jpg,b864293dc3601617049eb94d1236a7e0,Klosterneuburg Altar,Mosan art,religious painting,1181
100549.jpg,b864293dc3601617049eb94d1236a7e0,Klosterneuburg Altar,Mosan art,religious painting,1181
13102.jpg,cdffaf890a8c3a6a93181f2bab1571e7,Crucifix,Byzantine,religious painting,1272
10263.jpg,798f3d6f62293e3eec1d80bc385ecc36,Madonna of Crevole,Proto Renaissance,religious painting,1284
18804.jpg,a4a0c7f453db17be153de96ebcfc711f,St. Jerome Checking the Stigmata on the Body of St. Francis,Proto Renaissance,religious painting,1300
101179.jpg,a4a0c7f453db17be153de96ebcfc711f,St. Paul,Proto Renaissance,religious painting,1300
14146.jpg,a4a0c7f453db17be153de96ebcfc711f,The Crucifixion,Proto Renaissance,religious painting,1300
16639.jpg,a4a0c7f453db17be153de96ebcfc711f,Raising of Lazarus,Proto Renaissance,religious painting,1306
15379.jpg,a4a0c7f453db17be153de96ebcfc711f,God Sends Gabriel to the Virgin,Proto Renaissance,religious painting,1306
18544.jpg,a4a0c7f453db17be153de96ebcfc711f,Infidelity,Proto Renaissance,allegorical painting,1306
17441.jpg,798f3d6f62293e3eec1d80bc385ecc36,The Crucifixion,Proto Renaissance,religious painting,1310
16011.jpg,798f3d6f62293e3eec1d80bc385ecc36,Christ in front of Anna (Fragment) ,Proto Renaissance,religious painting,1311
18285.jpg,798f3d6f62293e3eec1d80bc385ecc36,Madonna and Child on a throne (Front side fragment),Proto Renaissance,religious painting,1311
16893.jpg,798f3d6f62293e3eec1d80bc385ecc36,Madonna and Child on a throne (Front side fragment),Proto Renaissance,religious painting,1311
16885.jpg,798f3d6f62293e3eec1d80bc385ecc36,Descent of the Holy Spirit upon the Apostles (Fragment) ,Proto Renaissance,religious painting,1311
16597.jpg,798f3d6f62293e3eec1d80bc385ecc36,Reassuring Thomas (Fragment) ,Proto Renaissance,religious painting,1311
10304.jpg,798f3d6f62293e3eec1d80bc385ecc36,Christ Appearing to Mary Magdalene (Fragment) ,Proto Renaissance,religious painting,1311
10495.jpg,798f3d6f62293e3eec1d80bc385ecc36,The arrival of the apostles to the Virgin (Fragment),Proto Renaissance,religious painting,1311
16126.jpg,798f3d6f62293e3eec1d80bc385ecc36,Christ before Caiaphas,Proto Renaissance,religious painting,1311
19384.jpg,798f3d6f62293e3eec1d80bc385ecc36,Flagellation of Christ,Proto Renaissance,religious painting,1311
14177.jpg,798f3d6f62293e3eec1d80bc385ecc36,Prophets. Isaiah,Proto Renaissance,religious painting,1311
101100.jpg,a4a0c7f453db17be153de96ebcfc711f,Nacelle,Proto Renaissance,religious painting,1313
18572.jpg,798f3d6f62293e3eec1d80bc385ecc36,The Madonna and Child with Saints,Proto Renaissance,religious painting,1318
19233.jpg,a4a0c7f453db17be153de96ebcfc711f,Crucifixion,Proto Renaissance,religious painting,1325
17841.jpg,c4a9bd575234cb4fd3ac9bb465801133,Six Gentlemen,Ink and wash painting,landscape,1345
17901.jpg,3d0eabaa03d5997194155a847a7a2e30,Prophet Daniel,Byzantine,religious painting,1400
100272.jpg,3d0eabaa03d5997194155a847a7a2e30,St. Matthew the Evangelist,Byzantine,miniature,1400
19244.jpg,3d0eabaa03d5997194155a847a7a2e30,The Last Judgement: Mother of God with angels,Byzantine,religious painting,1408
15815.jpg,06f82951366bafca791e325cb6b214ac,Heavenly Host,International Gothic,illustration,1408
103040.jpg,3d0eabaa03d5997194155a847a7a2e30,St. John Chrysostom,Byzantine,religious painting,1408
12149.jpg,06f82951366bafca791e325cb6b214ac,Diocrès Expounding the Scriptures,International Gothic,illustration,1408
16391.jpg,628b3a236e012a8c27b53517751afbbd,Madonna With Two Angels,International Gothic,religious painting,1410
19063.jpg,06f82951366bafca791e325cb6b214ac,Facsimile of May: Celebrating May Day Near the Town of Riom in the Auvergne,International Gothic,illustration,1415
14084.jpg,628b3a236e012a8c27b53517751afbbd,Enthroned Madonna with angels,International Gothic,religious painting,1420
11561.jpg,25ae5f1122be2bd3460525c418b9d492,"Crucifixion with the Virgin, John the Evangelist, and Mary Magdelene",Early Renaissance,religious painting,1420
10127.jpg,628b3a236e012a8c27b53517751afbbd,"Adoration of the Magi, from the Strozzi Chapel in Santa Trinita, Florence",International Gothic,religious painting,1423
1905.jpg,6229d98305ad62428418f25352c56603,Distribution of Alms and Death of Ananias,Early Renaissance,religious painting,1425
18817.jpg,628b3a236e012a8c27b53517751afbbd,"Madonna and Child with Angels Madonna and Child with Angels Gentile da Fabriano Fresco Orvieto, Cathedral",International Gothic,religious painting,1425
10688.jpg,6229d98305ad62428418f25352c56603,St. Paul,Early Renaissance,religious painting,1426
101414.jpg,44eee069716bb323fdde08eecdcd9c74,St. Francis Receiving the Stigmata,Northern Renaissance,religious painting,1427
10717.jpg,6229d98305ad62428418f25352c56603,Birth tray,Early Renaissance,history painting,1428
14991.jpg,25ae5f1122be2bd3460525c418b9d492,Christ Glorified in the Court of Heaven,Early Renaissance,religious painting,1430
12709.jpg,eb7aab875efeae0d20311261fc826ef0,Crucifixion,Early Renaissance,religious painting,1430
101671.jpg,44eee069716bb323fdde08eecdcd9c74,Portrait of a Young Man,Northern Renaissance,portrait,1432
103079.jpg,44eee069716bb323fdde08eecdcd9c74,"Virgin Annunciate, from the exterior of the right panel of the Ghent Altarpiece",Northern Renaissance,religious painting,1432
15283.jpg,25ae5f1122be2bd3460525c418b9d492,Virgin Mary Annunciate,Early Renaissance,religious painting,1433
16689.jpg,44eee069716bb323fdde08eecdcd9c74,Man in a Blue Turban,Northern Renaissance,portrait,1433
17971.jpg,e4f90e4cae5e75ee90d8852c013c0ff2,Study of Horse Heads,Early Renaissance,sketch and study,1433
10627.jpg,25ae5f1122be2bd3460525c418b9d492,Annunciation,Early Renaissance,religious painting,1434
19694.jpg,25ae5f1122be2bd3460525c418b9d492,Marriage of the Virgin,Early Renaissance,religious painting,1434
10427.jpg,25ae5f1122be2bd3460525c418b9d492,Visitation,Early Renaissance,religious painting,1434
153.jpg,25ae5f1122be2bd3460525c418b9d492,Coronation of the Virgin,Early Renaissance,religious painting,1435
100150.jpg,599777e56cedc655aef921713d5becd1,Abishai Kneeling before David,Northern Renaissance,religious painting,1435
14476.jpg,25ae5f1122be2bd3460525c418b9d492,Coronation of the Virgin (detail),Early Renaissance,religious painting,1435
18711.jpg,eb7aab875efeae0d20311261fc826ef0,St.Paul,Early Renaissance,religious painting,1435
16829.jpg,44eee069716bb323fdde08eecdcd9c74,The Lucca Madonna,Northern Renaissance,religious painting,1436
18995.jpg,44eee069716bb323fdde08eecdcd9c74,The Virgin of the Chancellor Rolin (detail) ,Northern Renaissance,religious painting,1436
11982.jpg,e4f90e4cae5e75ee90d8852c013c0ff2,Study of a Head,Early Renaissance,sketch and study,1436
15039.jpg,eb7aab875efeae0d20311261fc826ef0,Adoration of the Child,Early Renaissance,religious painting,1437
15681.jpg,3354b8820b6c7eaa725cececfeb85a6e,Madonna and Child with St. Fredianus and St. Augustine,Early Renaissance,religious painting,1438
16876.jpg,44eee069716bb323fdde08eecdcd9c74,The Madonna in the Church,Northern Renaissance,religious painting,1439
19157.jpg,599777e56cedc655aef921713d5becd1,St. Catherine and Mary Magdalene,Northern Renaissance,religious painting,1440
102735.jpg,25ae5f1122be2bd3460525c418b9d492,The Healing of Palladia by Saint Cosmas and Saint Damian,Early Renaissance,religious painting,1440
11450.jpg,25ae5f1122be2bd3460525c418b9d492,The Healing of Justinian by Saint Cosmas and Saint Damian,Early Renaissance,religious painting,1440
13648.jpg,25ae5f1122be2bd3460525c418b9d492,Saint Cosmas and Saint Damian before Lisius,Early Renaissance,religious painting,1440
11806.jpg,2f1ba47c4b9a2d8f5a25c7bd1bcd3bb4,Portrait of a Young Woman,Northern Renaissance,sketch and study,1440
16474.jpg,25ae5f1122be2bd3460525c418b9d492,St. Romuald,Early Renaissance,religious painting,1440
10538.jpg,25ae5f1122be2bd3460525c418b9d492,Resurrection of Christ and Women at the Tomb ,Early Renaissance,religious painting,1442
12804.jpg,84b85ba889501c62da0f05a6cdaeaa7f,St. Mark,Early Renaissance,religious painting,1442
1513.jpg,599777e56cedc655aef921713d5becd1,The Adoration of the Magi,Northern Renaissance,religious painting,1444
15147.jpg,96caa81edd3fa3c230cf2efef02a144f,"Polyptych of the Virgin: The Annunciation, The Visitation, The Adoration Of The Angels and The Adoration Of The Kings",Northern Renaissance,religious painting,1445
19162.jpg,eadb8b92da6754d70917ad9b9af6a95d,The Martyrdom of St. James the Great,Northern Renaissance,religious painting,1445
10489.jpg,eadb8b92da6754d70917ad9b9af6a95d,"Enthronement of the Virgin or, The Trinity in its Glory",Northern Renaissance,religious painting,1445
11497.jpg,c825d3adbd3acc20ef010f8d0f0a04b9,Madonna,Northern Renaissance,religious painting,1445
14539.jpg,25ae5f1122be2bd3460525c418b9d492,Institution of the Eucharist,Early Renaissance,sketch and study,1446
102906.jpg,84b85ba889501c62da0f05a6cdaeaa7f,Stories of Christ's Passion,Early Renaissance,religious painting,1447
10645.jpg,3354b8820b6c7eaa725cececfeb85a6e,Coronation of the Virgin (detail),Early Renaissance,religious painting,1447
15945.jpg,25ae5f1122be2bd3460525c418b9d492,Perugia Altarpiece,Early Renaissance,religious painting,1448
100466.jpg,25ae5f1122be2bd3460525c418b9d492,Dispute before Sanhedrin,Early Renaissance,religious painting,1449
16606.jpg,25ae5f1122be2bd3460525c418b9d492,St. Stephen Being Led to his Martyrdom,Early Renaissance,religious painting,1449
14850.jpg,9d9ad9e2fbdcff68dadc266ccc6e4aed,St. Jerome in the Wilderness,Early Renaissance,religious painting,1450
18643.jpg,84b85ba889501c62da0f05a6cdaeaa7f,Dante Alighieri,Early Renaissance,portrait,1450
15330.jpg,25ae5f1122be2bd3460525c418b9d492,Flight into Egypt,Early Renaissance,religious painting,1452
13627.jpg,7a5b41c727b25762d24cee788163a1d7,Scenes from the Life of St. Francis (north wall),Early Renaissance,religious painting,1452
11304.jpg,7a5b41c727b25762d24cee788163a1d7,Preaching to the Birds and Blessing Montefalco (detail),Early Renaissance,religious painting,1452
11261.jpg,7a5b41c727b25762d24cee788163a1d7,Preaching to the Birds and Blessing Montefalco,Early Renaissance,religious painting,1452
15839.jpg,7a5b41c727b25762d24cee788163a1d7,The Departure of St. Jerome from Antioch,Early Renaissance,religious painting,1452
16230.jpg,7a5b41c727b25762d24cee788163a1d7,"Birth of St. Francis, Prophecy of the Birth by a Pilgrim, Homage of the Simple Man (detail)",Early Renaissance,religious painting,1452
1656.jpg,9d9ad9e2fbdcff68dadc266ccc6e4aed,Presentation at the Temple,Early Renaissance,religious painting,1453
18343.jpg,3354b8820b6c7eaa725cececfeb85a6e,St. Lawrence Enthroned with Saints and Donors,Early Renaissance,religious painting,1453
